nome,cpf,idade,data,endereco,estado,pais
Sofia da Costa,974.508.632-00,51,12/11/1973,"Loteamento Araújo, 12
Vila Nova Cachoeirinha 3ª Seção
26929128 Porto de Souza / PA",Rio de Janeiro,Brasil
Lavínia Farias,139.804.567-57,57,20/04/1967,"Pátio de Barbosa, 50
Gameleira
75273210 Nogueira da Praia / CE",Goiás,Brasil
Sra. Yasmin Azevedo,615.780.293-68,24,31/03/2000,"Estrada Souza, 78
Vila Independencia 2ª Seção
61716-034 Viana / RO",Piauí,Brasil
Letícia Nogueira,720.364.519-34,48,17/09/1976,"Quadra de Souza, 59
Jaraguá
94556-803 Alves de Minas / AL",Rio Grande do Sul,Brasil
José Correia,019.627.543-16,55,23/09/1969,"Campo de Duarte
Vila São Geraldo
83389-947 Araújo da Prata / MA",Santa Catarina,Brasil
Maria Liz Ribeiro,712.540.638-62,22,08/10/2002,"Residencial de Albuquerque, 2
Vila Suzana Segunda Seção
35544982 Sousa de Araújo / ES",Rio Grande do Norte,Brasil
Davi Lucca Fernandes,096.523.781-86,59,20/09/1965,"Viela de Vieira, 7
Jardim Atlântico
40298892 Castro da Praia / PA",Goiás,Brasil
Juliana Castro,914.206.385-05,43,17/08/1981,"Parque de Lopes, 32
Frei Leopoldo
31913-157 Machado / GO",Santa Catarina,Brasil
Sophia Costa,724.156.903-25,44,25/11/1980,"Quadra Catarina Montenegro, 573
Alpes
94672-257 Ribeiro do Oeste / DF",Pernambuco,Brasil
Isabella Pires,251.307.948-50,19,03/02/2006,"Aeroporto de Cavalcanti, 10
Acaba Mundo
59723431 Gomes / BA",Santa Catarina,Brasil
